Category,Image-AUROC,Pixel-AUROC,Pixel-AUPR,Accuracy,F1-Score,Image Paths
bottle,1.0000,0.9641,0.7557,1.0000,1.0000,images/ADTR_FPN/DyT/ADTR_FPN_bottle_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_bottle_8_.png
cable,0.9766,0.9574,0.5251,0.9467,0.9560,images/ADTR_FPN/DyT/ADTR_FPN_cable_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_cable_8_.png
capsule,0.9805,0.9881,0.6551,0.9318,0.9573,images/ADTR_FPN/DyT/ADTR_FPN_capsule_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_capsule_8_.png
carpet,0.9988,0.9794,0.7298,0.9829,0.9886,images/ADTR_FPN/DyT/ADTR_FPN_carpet_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_carpet_8_.png
grid,0.8471,0.9582,0.4545,0.8077,0.8485,images/ADTR_FPN/DyT/ADTR_FPN_grid_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_grid_8_.png
hazelnut,1.0000,0.9836,0.6722,1.0000,1.0000,images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_hazelnut_8_.png
leather,0.9983,0.9735,0.7281,0.9919,0.9946,images/ADTR_FPN/DyT/ADTR_FPN_leather_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_leather_8_.png
metal_nut,1.0000,0.9690,0.7413,1.0000,1.0000,images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_metal_nut_8_.png
pill,0.9678,0.9871,0.6853,0.9461,0.9675,images/ADTR_FPN/DyT/ADTR_FPN_pill_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_pill_8_.png
screw,0.9529,0.9853,0.4846,0.9313,0.9528,images/ADTR_FPN/DyT/ADTR_FPN_screw_1_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_2_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_3_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_4_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_5_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_6_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_7_.png; images/ADTR_FPN/DyT/ADTR_FPN_screw_8_.png
