Category,Image-AUROC,Pixel-AUROC,Pixel-AUPR,Accuracy,F1-Score,Image Paths,,,,,,,
bottle,0.9722,0.8107,0.3042,0.9036,0.9322,images/ANOVit/Norm/ANOVit_bottle_1_.png, images/ANOVit/Norm/ANOVit_bottle_2_.png, images/ANOVit/Norm/ANOVit_bottle_3_.png, images/ANOVit/Norm/ANOVit_bottle_4_.png, images/ANOVit/Norm/ANOVit_bottle_5_.png, images/ANOVit/Norm/ANOVit_bottle_6_.png, images/ANOVit/Norm/ANOVit_bottle_7_.png, images/ANOVit/Norm/ANOVit_bottle_8_.png
cable,0.6865,0.6636,0.0750,0.7067,0.7660,images/ANOVit/Norm/ANOVit_cable_1_.png,images/ANOVit/Norm/ANOVit_cable_2_.png, images/ANOVit/Norm/ANOVit_cable_3_.png, images/ANOVit/Norm/ANOVit_cable_4_.png, images/ANOVit/Norm/ANOVit_cable_5_.png, images/ANOVit/Norm/ANOVit_cable_6_.png, images/ANOVit/Norm/ANOVit_cable_7_.png, images/ANOVit/Norm/ANOVit_cable_8_.png
capsule,0.7068,0.8084,0.2137,0.7121,0.8021,images/ANOVit/Norm/ANOVit_capsule_1_.png, images/ANOVit/Norm/ANOVit_capsule_2_.png, images/ANOVit/Norm/ANOVit_capsule_3_.png, images/ANOVit/Norm/ANOVit_capsule_4_.png, images/ANOVit/Norm/ANOVit_capsule_5_.png, images/ANOVit/Norm/ANOVit_capsule_6_.png, images/ANOVit/Norm/ANOVit_capsule_7_.png, images/ANOVit/Norm/ANOVit_capsule_8_.png
carpet,0.5448,0.6200,0.0777,0.6923,0.7931,images/ANOVit/Norm/ANOVit_carpet_1_.png, images/ANOVit/Norm/ANOVit_carpet_2_.png, images/ANOVit/Norm/ANOVit_carpet_3_.png, images/ANOVit/Norm/ANOVit_carpet_4_.png, images/ANOVit/Norm/ANOVit_carpet_5_.png, images/ANOVit/Norm/ANOVit_carpet_6_.png, images/ANOVit/Norm/ANOVit_carpet_7_.png, images/ANOVit/Norm/ANOVit_carpet_8_.png
grid,0.7661,0.7851,0.1455,0.7308,0.8000,images/ANOVit/Norm/ANOVit_grid_1_.png, images/ANOVit/Norm/ANOVit_grid_2_.png, images/ANOVit/Norm/ANOVit_grid_3_.png, images/ANOVit/Norm/ANOVit_grid_4_.png, images/ANOVit/Norm/ANOVit_grid_5_.png, images/ANOVit/Norm/ANOVit_grid_6_.png, images/ANOVit/Norm/ANOVit_grid_7_.png, images/ANOVit/Norm/ANOVit_grid_8_.png
hazelnut,0.8236,0.8854,0.4971,0.7909,0.8189,images/ANOVit/Norm/ANOVit_hazelnut_1_.png, images/ANOVit/Norm/ANOVit_hazelnut_2_.png, images/ANOVit/Norm/ANOVit_hazelnut_3_.png, images/ANOVit/Norm/ANOVit_hazelnut_4_.png, images/ANOVit/Norm/ANOVit_hazelnut_5_.png, images/ANOVit/Norm/ANOVit_hazelnut_6_.png, images/ANOVit/Norm/ANOVit_hazelnut_7_.png, images/ANOVit/Norm/ANOVit_hazelnut_8_.png
leather,0.5007,0.8023,0.1544,0.4032,0.3393,images/ANOVit/Norm/ANOVit_leather_1_.png, images/ANOVit/Norm/ANOVit_leather_2_.png, images/ANOVit/Norm/ANOVit_leather_3_.png, images/ANOVit/Norm/ANOVit_leather_4_.png, images/ANOVit/Norm/ANOVit_leather_5_.png, images/ANOVit/Norm/ANOVit_leather_6_.png, images/ANOVit/Norm/ANOVit_leather_7_.png, images/ANOVit/Norm/ANOVit_leather_8_.png
metal_nut,0.8021,0.8199,0.2655,0.7565,0.8478,images/ANOVit/Norm/ANOVit_metal_nut_1_.png, images/ANOVit/Norm/ANOVit_metal_nut_2_.png, images/ANOVit/Norm/ANOVit_metal_nut_3_.png, images/ANOVit/Norm/ANOVit_metal_nut_4_.png, images/ANOVit/Norm/ANOVit_metal_nut_5_.png, images/ANOVit/Norm/ANOVit_metal_nut_6_.png, images/ANOVit/Norm/ANOVit_metal_nut_7_.png, images/ANOVit/Norm/ANOVit_metal_nut_8_.png
pill,0.7119,0.8359,0.2776,0.7605,0.8450,images/ANOVit/Norm/ANOVit_pill_1_.png, images/ANOVit/Norm/ANOVit_pill_2_.png, images/ANOVit/Norm/ANOVit_pill_3_.png, images/ANOVit/Norm/ANOVit_pill_4_.png, images/ANOVit/Norm/ANOVit_pill_5_.png, images/ANOVit/Norm/ANOVit_pill_6_.png, images/ANOVit/Norm/ANOVit_pill_7_.png, images/ANOVit/Norm/ANOVit_pill_8_.png
screw,0.9783,0.8077,0.0785,0.9187,0.9422,images/ANOVit/Norm/ANOVit_screw_1_.png, images/ANOVit/Norm/ANOVit_screw_2_.png, images/ANOVit/Norm/ANOVit_screw_3_.png, images/ANOVit/Norm/ANOVit_screw_4_.png, images/ANOVit/Norm/ANOVit_screw_5_.png, images/ANOVit/Norm/ANOVit_screw_6_.png, images/ANOVit/Norm/ANOVit_screw_7_.png, images/ANOVit/Norm/ANOVit_screw_8_.png
tile,0.9120,0.7231,0.3535,0.8462,0.8831,images/ANOVit/Norm/ANOVit_tile_1_.png, images/ANOVit/Norm/ANOVit_tile_2_.png, images/ANOVit/Norm/ANOVit_tile_3_.png, images/ANOVit/Norm/ANOVit_tile_4_.png, images/ANOVit/Norm/ANOVit_tile_5_.png, images/ANOVit/Norm/ANOVit_tile_6_.png, images/ANOVit/Norm/ANOVit_tile_7_.png, images/ANOVit/Norm/ANOVit_tile_8_.png
toothbrush,0.9278,0.8958,0.1477,0.8333,0.8727,images/ANOVit/Norm/ANOVit_toothbrush_1_.png, images/ANOVit/Norm/ANOVit_toothbrush_2_.png, images/ANOVit/Norm/ANOVit_toothbrush_3_.png, images/ANOVit/Norm/ANOVit_toothbrush_4_.png, images/ANOVit/Norm/ANOVit_toothbrush_5_.png, images/ANOVit/Norm/ANOVit_toothbrush_6_.png, images/ANOVit/Norm/ANOVit_toothbrush_7_.png, images/ANOVit/Norm/ANOVit_toothbrush_8_.png
transistor,0.8950,0.6263,0.1493,0.7900,0.7789,images/ANOVit/Norm/ANOVit_transistor_1_.png, images/ANOVit/Norm/ANOVit_transistor_2_.png, images/ANOVit/Norm/ANOVit_transistor_3_.png, images/ANOVit/Norm/ANOVit_transistor_4_.png, images/ANOVit/Norm/ANOVit_transistor_5_.png, images/ANOVit/Norm/ANOVit_transistor_6_.png, images/ANOVit/Norm/ANOVit_transistor_7_.png, images/ANOVit/Norm/ANOVit_transistor_8_.png
wood,0.8947,0.7122,0.2795,0.9114,0.9431,images/ANOVit/Norm/ANOVit_wood_1_.png, images/ANOVit/Norm/ANOVit_wood_2_.png, images/ANOVit/Norm/ANOVit_wood_3_.png, images/ANOVit/Norm/ANOVit_wood_4_.png, images/ANOVit/Norm/ANOVit_wood_5_.png, images/ANOVit/Norm/ANOVit_wood_6_.png, images/ANOVit/Norm/ANOVit_wood_7_.png, images/ANOVit/Norm/ANOVit_wood_8_.png
zipper,0.8939,0.7290,0.1243,0.9205,0.9500,images/ANOVit/Norm/ANOVit_zipper_1_.png, images/ANOVit/Norm/ANOVit_zipper_2_.png, images/ANOVit/Norm/ANOVit_zipper_3_.png, images/ANOVit/Norm/ANOVit_zipper_4_.png, images/ANOVit/Norm/ANOVit_zipper_5_.png, images/ANOVit/Norm/ANOVit_zipper_6_.png, images/ANOVit/Norm/ANOVit_zipper_7_.png, images/ANOVit/Norm/ANOVit_zipper_8_.png
1,0.9310,0.8656,0.2529,0.8429,0.8764,images/ANOVit/Norm/ANOVit_01_1_.png, images/ANOVit/Norm/ANOVit_01_2_.png, images/ANOVit/Norm/ANOVit_01_3_.png, images/ANOVit/Norm/ANOVit_01_4_.png, images/ANOVit/Norm/ANOVit_01_5_.png, images/ANOVit/Norm/ANOVit_01_6_.png, images/ANOVit/Norm/ANOVit_01_7_.png, images/ANOVit/Norm/ANOVit_01_8_.png
2,0.7868,0.7347,0.1914,0.6826,0.7821,images/ANOVit/Norm/ANOVit_02_1_.png, images/ANOVit/Norm/ANOVit_02_2_.png, images/ANOVit/Norm/ANOVit_02_3_.png, images/ANOVit/Norm/ANOVit_02_4_.png, images/ANOVit/Norm/ANOVit_02_5_.png, images/ANOVit/Norm/ANOVit_02_6_.png, images/ANOVit/Norm/ANOVit_02_7_.png, images/ANOVit/Norm/ANOVit_02_8_.png
3,0.9992,0.7682,0.0478,0.9955,0.9762,images/ANOVit/Norm/ANOVit_03_1_.png, images/ANOVit/Norm/ANOVit_03_2_.png, images/ANOVit/Norm/ANOVit_03_3_.png, images/ANOVit/Norm/ANOVit_03_4_.png, images/ANOVit/Norm/ANOVit_03_5_.png, images/ANOVit/Norm/ANOVit_03_6_.png, images/ANOVit/Norm/ANOVit_03_7_.png, images/ANOVit/Norm/ANOVit_03_8_.png
